10000	 0 0 0 0 0 	0.019111662
10001	 0 0 0 0 1 	0.019656644
10002	 0 0 0 0 2 	0.018853277
10003	 0 0 0 0 3 	0.018304104
10004	 0 0 0 0 4 	0.017307692
10005	 0 0 0 1 0 	0.018560729
10006	 0 0 0 1 1 	0.019236549
10007	 0 0 0 1 2 	0.019974364
10008	 0 0 0 1 3 	0.018684936
10009	 0 0 0 1 4 	0.017725897
10010	 0 0 0 2 0 	0.019907724
10011	 0 0 0 2 1 	0.017961963
10012	 0 0 0 2 2 	0.018399193
10013	 0 0 0 2 3 	0.019394599
10014	 0 0 0 2 4 	0.018753781
10015	 0 0 0 3 0 	0.019236641
10016	 0 0 0 3 1 	0.020769073
10017	 0 0 0 3 2 	0.017570665
10018	 0 0 0 3 3 	0.017866919
10019	 0 0 0 3 4 	0.020566277
10020	 0 0 1 0 0 	0.022392389
10021	 0 0 1 0 1 	0.016470588
10022	 0 0 1 0 2 	0.021965748
10023	 0 0 1 0 3 	0.017878427
10024	 0 0 1 0 4 	0.018663047
10025	 0 0 1 1 0 	0.016558119
10026	 0 0 1 1 1 	0.018500099
10027	 0 0 1 1 2 	0.018752494
10028	 0 0 1 1 3 	0.017388784
10029	 0 0 1 1 4 	0.019672131
10030	 0 0 1 2 0 	0.01923354
10031	 0 0 1 2 1 	0.015869417
10032	 0 0 1 2 2 	0.01681826
10033	 0 0 1 2 3 	0.015718684
10034	 0 0 1 2 4 	0.016724739
10035	 0 0 1 3 0 	0.018117543
10036	 0 0 1 3 1 	0.020203892
10037	 0 0 1 3 2 	0.020798089
10038	 0 0 1 3 3 	0.018077566
10039	 0 0 1 3 4 	0.020642978
10040	 0 0 2 0 0 	0.017980152
10041	 0 0 2 0 1 	0.018554576
10042	 0 0 2 0 2 	0.020248459
10043	 0 0 2 0 3 	0.019978632
10044	 0 0 2 0 4 	0.018407804
10045	 0 0 2 1 0 	0.016923524
10046	 0 0 2 1 1 	0.020236088
10047	 0 0 2 1 2 	0.019098043
10048	 0 0 2 1 3 	0.017546332
10049	 0 0 2 1 4 	0.017451524
10050	 0 0 2 2 0 	0.020161825
10051	 0 0 2 2 1 	0.017779473
10052	 0 0 2 2 2 	0.016554874
10053	 0 0 2 2 3 	0.018348624
10054	 0 0 2 2 4 	0.018181818
10055	 0 0 2 3 0 	0.018241398
10056	 0 0 2 3 1 	0.017782427
10057	 0 0 2 3 2 	0.015940104
10058	 0 0 2 3 3 	0.019579324
10059	 0 0 2 3 4 	0.018359853
10060	 0 0 3 0 0 	0.018713663
10061	 0 0 3 0 1 	0.017954022
10062	 0 0 3 0 2 	0.019361554
10063	 0 0 3 0 3 	0.017308314
10064	 0 0 3 0 4 	0.016815374
10065	 0 0 3 1 0 	0.019763744
10066	 0 0 3 1 1 	0.018547703
10067	 0 0 3 1 2 	0.016997379
10068	 0 0 3 1 3 	0.01836709
10069	 0 0 3 1 4 	0.021555764
10070	 0 0 3 2 0 	0.019215443
10071	 0 0 3 2 1 	0.019938445
10072	 0 0 3 2 2 	0.018399168
10073	 0 0 3 2 3 	0.019144081
10074	 0 0 3 2 4 	0.017223199
10075	 0 0 3 3 0 	0.019071549
10076	 0 0 3 3 1 	0.01907973
10077	 0 0 3 3 2 	0.01966658
10078	 0 0 3 3 3 	0.020246989
10079	 0 0 3 3 4 	0.019777481
10080	 0 0 4 0 0 	0.024549629
10081	 0 0 4 0 1 	0.017633411
10082	 0 0 4 0 2 	0.019009773
10083	 0 0 4 0 3 	0.018470512
10084	 0 0 4 0 4 	0.021123132
10085	 0 0 4 1 0 	0.01939404
10086	 0 0 4 1 1 	0.017403767
10087	 0 0 4 1 2 	0.018734503
10088	 0 0 4 1 3 	0.016843014
10089	 0 0 4 1 4 	0.016881522
10090	 0 0 4 2 0 	0.017250602
